id_tweet,ds_tweet,fisiologico,psiquico,comportamental,label,validado_espec,dh_tweet
3696,dormi o dia inteiro tinha horas w meu despertafor tocava aj eu pensavabnossa to tristebsou pessima stanbdo chittaphon ai tb lembrava de sabadonnossa depressao total https://t.co/gI4OptbJCy,1,1,0,1,1,2019-10-09 02:32:41.000000
3885,já entendi que eu não sou importante tá bom,0,1,0,3,1,2019-10-12 12:15:04.000000
3888,chorando pq não sou importante pra ngm 👍🏿 https://t.co/eVdRWc94IQ,0,1,0,3,1,2019-10-11 23:56:04.000000
3889,Sinto sempre que nao sou importante para certas pessoas da maneira que eu queria,0,1,0,3,1,2019-10-12 14:43:38.000000
8369,Tô indo pra escola com a força do ódio,0,0,0,0,1,2019-10-11 12:10:22.000000
8370,"Minha mãe disse que eu namoro escondido, é tão escondido que nem eu sei",0,0,0,0,1,2019-07-28 12:11:21.000000
4982,Se eu n acordar msm é melhor já que sou um fracassado msm,0,1,1,3,1,2019-10-14 03:33:22.000000
5546,"Fora que eu olho no espelho e penso, ""pq eu não bato a cabeça ali pra acabar com o sofrimento?"", eu olho pra faca da comida e penso, ""pq alguém não me mata logo?"". Mas assim, me desculpa mesmo quem me ""ama"", mas eu me sinto totalmente inútil.",0,1,1,3,1,2019-10-15 03:15:23.000000
4575,Acordei sem vontade de socializar hj acho q vou beber uma pra melhorar o humorzin,0,1,1,3,1,2019-10-13 18:08:11.000000
3773,"estou me sentindo extremamente deprimido então vou dar uma sumida por um tempinho, fiquem bem",0,1,1,3,1,2019-10-12 00:14:27.000000
3890,@Gabriella746260 Nao sou importante pra isso,0,1,0,3,1,2019-10-11 23:48:09.000000
4529,Vtnc kkkk qq eu fiz pra merecer,0,1,0,3,1,2019-10-13 16:59:30.000000
5502,"toda vez que eu tomo meu remédio eu penso “isso aqui pode salvar ou tirar minha vida, só depende de mim”",0,0,1,2,1,2019-10-15 17:01:04.000000
5505,"Vocês dizem que eu não tenho direito de tirar minha vida 
E onde está o direito de vocês decidirem isso por mim 
~S.P.T~",0,0,1,2,1,2019-10-15 16:56:00.000000
3873,só quero morrer,0,0,1,2,1,2019-10-12 15:52:15.000000
3906,eu um dia sem comer nada so leite aiaia não sei se é pq to sem apetite ou pq eu to paranoico com meu peso dnv,1,0,0,1,1,2019-10-12 15:35:55.000000
3908,"Tô sem apetite, comendo forçada 🤦‍♀️",1,0,0,1,1,2019-10-12 13:31:29.000000
3909,meu almoço ficou muito bom hj pena eu estar sem apetite por causa do calor,1,0,0,1,1,2019-10-12 13:55:39.000000
3910,"Eu sem apetite nenhum e meu organismo querendo comida, vai sonhando querido.",1,0,0,1,1,2019-10-12 13:38:24.000000
8372,Nem lembrava mais de como é bom brincar na chuva,0,0,0,0,1,2019-02-02 19:27:11.000000
8374,"Hoje li a seguinte frase ""de alguma forma, você sempre volta."" E eu nunca li tanta verdade sobre uma querida aí",0,0,0,3,1,2019-07-15 21:34:22.000000
8375,Eu ouvindo Zé Neto e Cristiano vai dar merda,0,0,0,0,1,2019-10-13 17:16:10.000000
8376,Que raiva,0,0,0,0,1,2019-08-20 17:46:02.000000
8377,Só preciso de uns abraços bem apertados '-',0,0,0,0,1,2019-10-08 19:49:49.000000
8378,"13 -PERGUNTAS ALEATÓRIAS DEMAIS PARA SEREM RESPONDIDAS RAPIDAMENTE 
1 - Onte 2 - Quarta: 27/0 3 -  4 -  5 - Hoj 6 - Águ 7 - Lasanha 8 -  9 - @BleBeatrizz 10 - sei lá kk 11 - nã 12 - Preto 13 - ...",0,0,0,3,1,2019-03-06 12:29:48.000000
8379,Cada dia eu tenho mais certeza de que a única coisa que sinto por homens é nojo!!!!,0,0,0,3,1,2019-02-17 09:56:15.000000
8408,Eu queria tanto uma rosa amarela e a mãe não quer comprar aaa,0,0,0,0,1,2019-11-01 22:16:57.000000
8409,Eu adoraria não ter visto certas coisas,0,0,0,0,1,2019-10-29 14:40:26.000000
8412,"você ainda tem tanta coisa pra viver, não se prenda em alguém que não queira voar com você..",0,0,0,3,1,2019-01-14 16:50:00.000000
8413,"Quando tá tudo bem, tenho sempre que achar alguma coisa pra estragar",0,0,0,0,1,2019-10-31 21:22:09.000000
8415,Ninguém vai te amar tanto quanto aquela pessoa que chorou na sua frente por medo de te perder,0,0,0,3,1,2019-01-28 22:52:41.000000
8418,Cansei de ser tia. não quero mais,0,0,0,0,1,2019-01-15 09:49:14.000000
8425,Tão bom ouvir histórias do meu pai e como ele era querido com os outros S2,0,0,0,0,1,2019-10-30 19:19:25.000000
8427,"Que dia chato. 
até parece eu",0,0,0,0,1,2019-03-01 10:59:22.000000
8428,Acordei com uma saudade da @ :-(,0,0,0,3,1,2019-03-03 10:44:16.000000
8429,"Tu veio fazer uma visita a minha memória, e mais uma vez, eu chorei",0,0,0,0,1,2019-01-22 21:30:16.000000
8430,O jeito que estou me iludindo é diferente,0,0,0,3,1,2019-10-16 21:55:41.000000
8431,"Adoraria estar rebolando minha bundinha de grilo na minha vizinha, mas como não fui convidada vai aqui em casa mesmo",0,0,0,0,1,2019-08-03 21:37:45.000000
8433,Eu tô indignada que não pude ir na cama elástica,0,0,0,3,1,2019-08-10 00:32:10.000000
8437,Hoje é dia de tbt e o único que eu queria é aquele que não pode ser postado,0,0,0,0,1,2019-10-10 10:12:23.000000
8438,Melhor do rolê foi ver minha consagrada,0,0,0,0,1,2019-10-25 00:26:40.000000
8439,Eu deveria estar estudando pro Enem mas tô aqui chorando,0,0,0,0,1,2019-11-01 21:28:14.000000
8440,"Às vezes, as pessoas amam o que você pode oferecer a elas, mas isso não quer dizer que elas amam você..",0,0,0,0,1,2019-07-15 18:12:47.000000
8441,Lavar a louça e dormir aquele sono que maravilha,0,0,0,1,1,2019-10-09 12:51:39.000000
