,id,text,number_of_retweets,number_of_favorites,date,user_id,user_screen_name
0,1512902688589193219,I hate when I get in my lil depression moods,0,0,2022-04-09 21:18:03+00:00,884906524468006912,prettyshawd
1,1512902668934860800,"I’m a mix of depression, trust issues, loss of hope, loss of passion and pessimism.",0,0,2022-04-09 21:17:59+00:00,1161567348907761664,depressedpotat
2,1512902626052087817,"Time for sleep if covid and depression let me or will you haunt my dreams too, ,",0,0,2022-04-09 21:17:49+00:00,1320389044984053760,richardamonk1
3,1512902616983945218,feeling some spicy depression coming on hehehe,0,0,2022-04-09 21:17:46+00:00,1418322059759865856,error404_irl
4,1512902611434889218,"@Levi_godman Or close, depression going on acceptance",0,0,2022-04-09 21:17:45+00:00,129392637,John_Kenney
5,1512902603557912576,"sometimes it's not depression, it's untreated  malaria that's got you weak",0,0,2022-04-09 21:17:43+00:00,2922589696,yazzxv
6,1512902599305043974,having severe post concert depression,0,0,2022-04-09 21:17:42+00:00,1187575118656163843,milfsoobin
7,1512902523602063369,@sbeezer See a medical doctor and describe your symptoms and have them run tests including blood work and check your thyroid.   It sound like depression.  Seek help.  🙏,0,0,2022-04-09 21:17:24+00:00,1467627340033249281,Rusihans12
8,1512902513904828416,"when mani was literally transparent as fck in a magazine article about struggles with depression and therapy that year and yall flat-out said she should just get over it and ""work through it"" like yall btches actually suck.",0,0,2022-04-09 21:17:22+00:00,3386677456,hyphenkordei
9,1512902467461255179,"Forex Trading is not a guarantee that you would end up being rich.

Forex almost got me into depression, by swallowing all my money.

Join Me as I show you how Forex made me go bankrupt and how you can avoid this as a Forex trader.
 https://t.co/Lnqvr7BWID",0,0,2022-04-09 21:17:11+00:00,938210542598131712,Moses_Omoyele
10,1512902440466714637,"@GhanaboyPharmd WTF is wrong with these people? Here is the part I am having a real problem with, since when is it ok to treat depression but not pain with opioids? In what world? https://t.co/ug6Zw7JAZt",0,0,2022-04-09 21:17:04+00:00,825920335367249924,keesaroo
11,1512902417628729347,@H4NDS_R Math and depression go hand in hand,1,1,2022-04-09 21:16:59+00:00,823330860611072001,ISleeepster
12,1512902369071312897,"@asmrDarling @GibiOfficial 
@MissSykeology 
@ShiverMeTingles 
@asmrDarling 
@FrivviFox 
@asmrglow_ 
@ScottishMurmurs 
@lunarexxasmr 
@AmyKayAsmr 
@AsmrTreasury 

Thank you all for your help with anxiety, depression and helping me to sleep #ASMR",0,0,2022-04-09 21:16:47+00:00,1408127489650593799,ASMRPunk2427
13,1512902346006839310,"In bed ALL day. A LOT tired, a bit sad. Depression has his grip. https://t.co/9eG2yuugn7",0,0,2022-04-09 21:16:42+00:00,1285828163256438785,rojas_saskia
14,1512902326952271872,i have depression my guy,0,0,2022-04-09 21:16:37+00:00,1027171723517382656,jackdawbot
