,id,text,number_of_retweets,number_of_favorites,date,user_id,user_screen_name
0,1512902669454741507,Happy i got off early enough to take a nap before i go out,0,0,2022-04-09 21:17:59+00:00,1156199974411100160,___Daee___
1,1512902667361665024,"@MaryJo_NotMary @eliliveshere Only when someone says ""thats not a little boy stripping, he's just taking his clothes off while he dances and getting money for it, this is normal at drag events!!""

which btw you should probably not say about drag events, I have a feeling they will not be happy about that.",0,0,2022-04-09 21:17:58+00:00,1355319835887079430,Skogi_Art
2,1512902667110162436,"Will Wood - Memento Mori: the most important thing in the world
--
This first one I'd actually like to do a proper cover of with the help of a friend of mine one day. Not sure if I like this performance, but the point here is that I'll share these even if I'm not happy with them. https://t.co/VPXu74LkA5",0,0,2022-04-09 21:17:58+00:00,1434721144217772033,ehopej_vt
3,1512902666858471427,@amberruth17 @MENAConflicted @FuzzyDunloper @AndrewRoseSC LMAOOO then don’t complain about the cost of living in NoVa. And I’m happy for you that you’re independently wealthy. But acting as though a couple of thousand dollars a month is a pittance is asinine. And you should feel stupid for making that argument.,0,0,2022-04-09 21:17:58+00:00,779458573776613376,HercNav130
4,1512902666749423617,"Don't question narrative on the virus
Don't question narrative on illegal migration
Don't question narrative on Ukraine

You'll be happy and keep voting for the same!",0,0,2022-04-09 21:17:58+00:00,4205389155,yorkspride
5,1512902666690695171,@stillcrystaI Busy weekend but happy for that 🦾🦾hbu?,0,0,2022-04-09 21:17:58+00:00,1169698774538579968,MrSweMusic1
6,1512902662219567108,@scatterredd Happy birthday bestie!! hope you have a great birthday today💖💖💖💖💖💖,0,0,2022-04-09 21:17:57+00:00,1316298920016969729,AmbivalentAce
7,1512902661988753408,"@EvansWefixbikes That’s wonderful!  I’m proud of your accomplishments , and very happy for you.👍",0,0,2022-04-09 21:17:57+00:00,1446636520639647747,MyClickInTime
8,1512902661003165700,@nandomolinar97 happy birthday 🎈🎉🎂,0,0,2022-04-09 21:17:57+00:00,2428649293,gwenwynfar
9,1512902660567056384,@9__z0 happy birthday 🎈,0,0,2022-04-09 21:17:57+00:00,1396872541558374402,_saxxv
10,1512902659933499394,The SBA is shocked (happy) to announce that Commissioner @SixersCaleb and NYP coach @chmpagnemami have announced they arr e-dating,0,0,2022-04-09 21:17:57+00:00,1426305426056880129,SBARevival
11,1512902659673632793,@DimpledDork28 I’m so happy that they have for each other 🥹,0,0,2022-04-09 21:17:57+00:00,468868135,perfectnowls
12,1512902659090571267,happy for her choosing what she wants in life but i’ll miss her in future seasons,0,0,2022-04-09 21:17:56+00:00,1230847476,Ioonaevis
13,1512902658935476229,"@ellieuk1 I'm so happy, received 1400$ drop! @AMathaious @reoccrypto @ArmacostBrennan @GOGUARD181 @chjia0716 @Nishostaro @correianman @marcelcrusp @moonshotsj @AshleyB2505 @wdanft @Jbenji207 @FegChina @Stephen37878788 @evannes876 @Foumoody @ShadawgNinja",0,0,2022-04-09 21:17:56+00:00,1511726003512815618,Cassand53101586
14,1512902657718988801,"No. You are great son. 😄 I really can tells the world, how much happy i am.

Maybe you don't feel it, but you are funny when you focus. Maybe it will mess, you still cute. I wanna hug you. 

Namjoon Oppa is really have courage, unique prespective, empative. https://t.co/4UqlJ0r87j",0,0,2022-04-09 21:17:56+00:00,1329190524897558530,royyana987
15,1512902657333243907,"@teddytyun hi, i'm good! always happy to find european moas, looking forward to interacting with you!",0,0,2022-04-09 21:17:56+00:00,1504936444145680384,bluetubatu
16,1512902657035292674,"Chinese-style hot mustard on a turkey sandwich…. Happy accident, but you’re welcome.",0,0,2022-04-09 21:17:56+00:00,785911839326482432,RickBecker14
17,1512902657022722048,@CCVagina @Smilan317 Keep us posted .    He will be so happy getting our if rescue.,0,0,2022-04-09 21:17:56+00:00,23518096,drvancouver
18,1512902656922161154,tomas lost :( but we had a nice hug at the net at least. he tried his best and was clearly outplayed by huesler. but im sure this doesnt hurt as much since tomas is now in the TOP 100 at the rankings. so happy for him https://t.co/BHWtiI4H3R,0,0,2022-04-09 21:17:56+00:00,1481766600151912448,frenchopen2004
19,1512902656720875523,"@9__z0 Happy New Year, I wish you happiness🤍🦋.",0,0,2022-04-09 21:17:56+00:00,1395720571355287556,nk1_kn
20,1512902654829211653,@GFarooqi I am very happy that JUDGEMENT DAY is almost here.... I am Happy 😊 when ALLAH will Throw major chunk in HELL.... THANK YOU ALLAH.... You have a system that can't be compromised... HELL DOGS,0,0,2022-04-09 21:17:55+00:00,1439981665137291265,Khan4074282Pak
21,1512902654506242051,@Potatoe_Aimer Happy Birthday!,0,0,2022-04-09 21:17:55+00:00,891688231699447808,Zavallr
22,1512902653981995008,@NomadOfHope @Haileesbishops @sisiluvsshippin @DevsMastani @Gabriela_JM_ @SuperLittleLiar @LukePrime_ @tomthorburn12 @yorocky89 @yeagerarlert @d_supera Happy Birthday!,0,0,2022-04-09 21:17:55+00:00,156958205,AJHJR
23,1512902653927432194,Happy Founder’s Day to my lovely sisters. S-L-G till I D-I-E 😌,0,0,2022-04-09 21:17:55+00:00,434703503,wendyabigail_
24,1512902651213586435,"Happy birthday, Gerard Way. My favorite number for literal years was 49 because of today, I justified it by saying it was my lucky number (7) squared and that’s on me feeling the need to justify everything I’ve ever done",0,0,2022-04-09 21:17:55+00:00,322216453,_aamyjane
25,1512902650550960135,I'm happy being childish https://t.co/Py1n4f9tT4,0,0,2022-04-09 21:17:54+00:00,1354907100,lesheasdelight
26,1512902649837867009,@NoonaArmy91 Happy birthday dear habibi 💜 have a wonderful year love.. You deserve it 💜 https://t.co/5NgKyTy64b,0,0,2022-04-09 21:17:54+00:00,3114936679,fsz94
27,1512902649594916864,"@rinsurgf HAPPY BDAY RINN, MAY GOODNESS ALWAYS BE WITH YOU 😍😍💓💓",0,0,2022-04-09 21:17:54+00:00,1316972446721798144,MI004MOR3
28,1512902649145970694,@lliill9a Happy birthday beautiful girl 🎈,0,0,2022-04-09 21:17:54+00:00,509440454,_llhll2
29,1512902649120763904,Still can’t believe Dwayne Haskins was killed. He was my favorite QB ever at Ohio State and I was beyond happy when he was drafted to the Redskins. RIP 🦁😔,0,0,2022-04-09 21:17:54+00:00,553223502,OhMeJoshh
30,1512902649074573314,"I'm very happy right now. Dedicated to everyone cos love comes first above all.
https://t.co/OWxy2hEo23",0,0,2022-04-09 21:17:54+00:00,185799240,AeshaYaqub
31,1512902647757553684,@sillybamdz HAPPY BIRTHDAY ENJOY YOUR SPECIAL DAY💕❤️,0,0,2022-04-09 21:17:54+00:00,1433805453901828100,hftipo
32,1512902646658703362,"@JaiJanoskians I'm so happy, received 1400$ drop! @Ali47670281 @Capytann @LuisVarandas13 @alnorj @Zouhayr14496736 @merajgh1 @ScalonTon_y @josephc54842534 @EzeMSaa @DermotNha @NgynThAhVu @raulpenya @beabernardo @SyfyCoin @1975ozgur_alp @RabiyaRaees1 @hasan94681875",0,0,2022-04-09 21:17:53+00:00,1511887203055845379,RuthRam28204098
33,1512902646490968065,#Tecnologia This should make right-to-repair enthusiasts happy! https://t.co/bHLpjRny4P,0,0,2022-04-09 21:17:53+00:00,824639391838543872,berlingonzalezs
34,1512902646205718545,happy New year short wish your days are always happy It's true you're rude but I love u @lvgogte :&lt; https://t.co/OPKYp0zz0w,0,0,2022-04-09 21:17:53+00:00,1414668641795182592,jungkokio
35,1512902645379440652,"A muddy track at Keeneland didn't deter Zandon from running down Smile Happy in the final stage of the Toyota Blue Grass. The two chalks beat out Pacesetter Emmanuel third, longshot Golden Glider fourth. 100-40-20-10. 1:50.35. Flavien Prat up for Chad Brown and owner Jeff Drown.",0,0,2022-04-09 21:17:53+00:00,243370080,DowneyProfile
36,1512902644842774530,"@xiaoulmin HAPPY MARIA DAY
#OurIconicMaria #HappyMariaDay",0,0,2022-04-09 21:17:53+00:00,1507649061435809798,22feblueary
37,1512902644368617482,@battytwist this makes me so happy to hear,0,0,2022-04-09 21:17:53+00:00,1339416588706037760,feIidaen
38,1512902644184100865,@MomsGoneBad @AndiAngelWW If this really is my desert I'll be happy to announce I have diabetes,0,0,2022-04-09 21:17:53+00:00,1487733495908737025,Existenceless_
39,1512902642695028745,@Saitamaguru1 @SaitaRealty Happy for those who didn't get screwed on launch. Some of us would of had a great entry but lost our ETH and ended up with F all. Still holding Saitama though since August,0,0,2022-04-09 21:17:53+00:00,4443486376,Lew7dawg
40,1512902641168306179,@attorneyjeremy1 Happy birthday young fella.,0,0,2022-04-09 21:17:52+00:00,1275618339226877964,KeithChaney8
41,1512902640803459085,my happy place is cheol’s part in to you https://t.co/lV5NdlAH2z,0,0,2022-04-09 21:17:52+00:00,1065083866074046464,yslshua
42,1512902640333635590,@LoneChildMJB Ayiii happy birthday @LoneChildMJB 🥰🥰,0,0,2022-04-09 21:17:52+00:00,1406578732870078464,seralana2
43,1512902639641673735,she’s so happy I’ll cry😭😭,0,0,2022-04-09 21:17:52+00:00,1460825155391922177,CAMGIRLSIE
44,1512902638907629569,@kidwilks @mikethemiz It was super heavy but I smiled I was beyond happy,0,0,2022-04-09 21:17:52+00:00,428430911,execution84
45,1512902638362374150,@Little_Minxs I’m happy to hear that,0,0,2022-04-09 21:17:52+00:00,1512146791021654019,XanderEli_RP
46,1512902638249160710,@ynyats @dontyellatmydog @Red_pill__ I find it ironic that these Redpill guys will say that a man doesn't need to get married to be happy but for some reason think that unmarried women are depressed🤣🤣🤣. The cognitive dissonance wallahi 🤣🤣,0,0,2022-04-09 21:17:51+00:00,1438607077006626818,AndrewMusembi8
47,1512902637724655618,@clegainz @ShotTalkin @WolfPackWW @MomentRanks @MILKGANGxRS I’m so happy someone really won it big like this in our community. As the legendary commentator who made this line infamous “so inspirational man” 😂 but serious it is. Happy to know this could happen to any of us !!!! Congrats again dude,0,0,2022-04-09 21:17:51+00:00,3095311746,kenny_kellan7
48,1512902636697272321,"@KhoaPhan96 Oya oya

You sure are a madman, and a wonderful one at that!

Happy birthday!",0,0,2022-04-09 21:17:51+00:00,1934927268,Mantimestwo
49,1512902635862605836,"🤳 @MarceloM12: ""Hello madridistas! Three more points, we're very happy. We're here with our fans and we keep going! #HalaMadrid!"" https://t.co/hjlGmEKD6w",1,6,2022-04-09 21:17:51+00:00,452155423,realmadriden
50,1512902634826760194,Happy birthday @cinxau,0,0,2022-04-09 21:17:51+00:00,1180012077269733376,akukamenrider
51,1512902634822324327,@raphaeldogg I don’t know but I am happy to improvise,0,0,2022-04-09 21:17:51+00:00,1244398254349078529,Barryhe61389583
52,1512902634612858882,"@thv95_thv You to V , you happy I'm also happy all the best for ptd day 2 concert have a fun and take care your self 💜🙂salanghae V still forever💜 https://t.co/Y096dxOJtP",0,0,2022-04-09 21:17:51+00:00,1485267400442650628,Maha79515347
53,1512902634038075397,happy memories can make u sad,0,0,2022-04-09 21:17:50+00:00,1038825530936713216,kw_thrrr
54,1512902633949909001,Happy Saturday! Have a restful and relaxing weekend! 💗 #hctx https://t.co/5QOpj2W3U6,0,0,2022-04-09 21:17:50+00:00,101723011,HerCampusTexas
55,1512902633916350464,"@filmdevelop Well, that’s not alarming at all 😬

Happy birthday!",0,0,2022-04-09 21:17:50+00:00,798857196607967232,moragperkins
56,1512902633698508803,@manusiawarbyasa happy birthday mba! 😍,0,0,2022-04-09 21:17:50+00:00,1257496216356614144,cpucinoboba
57,1512902633698250754,Imagine telling everyone your first strikeout was Bobby Dalbec? Like I’m sure everyone will still be happy for him but is that really THAT impressive?,0,0,2022-04-09 21:17:50+00:00,1051113449072283649,wordsfromfenway
58,1512902632825933829,@spdrfilms HAPPY BIRTHDAY !!,0,0,2022-04-09 21:17:50+00:00,1378107331217649664,formiidablecool
59,1512902632347684866,"@Happy_1 You too Beatrice 🤗 Night-night, sleep well 😴💤 xx",0,0,2022-04-09 21:17:50+00:00,1377071954,HortopHortop
60,1512902631903084559,@jeffbarrow81 Happy 9th birthday Jasper 🎂🎂🎂❤️,0,0,2022-04-09 21:17:50+00:00,2707380183,rp_parsons
61,1512902631752093704,"@EysjmM I'm so happy, received 1400$ drop! @yologikNFT @NFTSPECIALIST_N @JamieAh1986 @EthMarianna @RealRushKeks @hpithadiya1794 @Jeztintin @Loonoexc @jeyzog @Gutdog22 @jessie_050 @BandoVsWorld @kokoandking @Jignaciorisso @dreamcog_ @BenAnde62443657 @AnaIoana1999",0,0,2022-04-09 21:17:50+00:00,1509185902429749254,Jonesaa96911412
62,1512902631701762053,Happy Birthday Butterfly 🦋#spring https://t.co/tdyir1HGFG,0,0,2022-04-09 21:17:50+00:00,1393238637278543873,JessicaLynn9750
63,1512902631295168512,@tataazia happy birthdayy tataa,0,0,2022-04-09 21:17:50+00:00,1014880260779732992,taeyongiev
64,1512902630053494788,"@futurewas8bit When you are in chronic pain it’s important to concentrate on your mental health and take some time to do things that make you happy.
Remove the barriers that stop you from doing things.
I’ve been in chronic pain most of my life, if you need someone to try help you can DM me 👍",0,0,2022-04-09 21:17:50+00:00,1219913174205521922,SmileyBobUK
65,1512902629982101507,"@nayrscrypto_ I'm so happy, received 1400$ drop! @MAithammadi @GTGdiary @Mehdibgcrypto @ABKHAN_1996 @Le_Zoooo @Bhauser01 @notzakkennedy @HalilGnen16 @EnverAhmeti90 @NumanAyanolu2 @fuatyesilyurt @VictorienOuoba @rubyng2007 @Alisha_5403 @BilalSh23474418 @abdo_rose22 @SumitKhanduja4",0,0,2022-04-09 21:17:50+00:00,1503068096919130123,Racheal44745157
66,1512902629751414784,"@jes_MAYC I'm so happy, received 1400$ drop! @David__Leal31 @mario_rwr @ZRM008 @BlindDinoo @lorhanoliver_ @rzeez @francoarceo @Jay_WyldKard @mspaint_29 @inhouseMilhouse @sandraleesvodka @cathcartyboi @jjetstreamm @iam_smmxxi @Huwaaan69 @Vinton025132311 @noncreature0714",0,0,2022-04-09 21:17:49+00:00,1504177083089571849,Rutha19719734
67,1512902628392407042,@namericanno HAPPY BIRTHDAY KEAY TERONG https://t.co/9YlBsuUMM6,0,0,2022-04-09 21:17:49+00:00,1407493413415526400,yoojiminsbt
68,1512902628258324482,@thv95_thv I am happy 😃,0,0,2022-04-09 21:17:49+00:00,1367764040521547776,Sabrina50004551
69,1512902628220489741,Happy Birthday freak man💪🏾 https://t.co/PHSBptGbjz,0,0,2022-04-09 21:17:49+00:00,1011506390060470272,NateDawggg_
70,1512902627654258701,@mjeffers99 @Axiom_Space @SpaceX @Space_Station Not a happy camper eh? Cheer up life is short.,0,0,2022-04-09 21:17:49+00:00,1444870345933180930,ChrisCr87069527
71,1512902627239112716,"@jodyjsperling For the most part, I write happy endings, but I like happy endings.
I do write short horror stories too, tho, and for those I like sinister endings.",0,0,2022-04-09 21:17:49+00:00,1408583269906632707,TheShyWriter3
72,1512902626387582987,@Anni_s_music I would've done the same😂 I'm really happy for you,0,0,2022-04-09 21:17:49+00:00,1346116173625229312,HannaA_1d
73,1512902626270191631,@Ainaa_Syana I just want them to get thru the finals..I don't want them go get eliminated..I just want them to be happy,0,0,2022-04-09 21:17:49+00:00,1384385765027819522,g_ml_wls
74,1512902626161180673,@janetwerther Happy birthday! You share the day with my mom. 🎉,0,0,2022-04-09 21:17:49+00:00,56281801,eetempleton
75,1512902625708187648,"The amount of interactions I am getting I feel very happy right now, love you oomfs &lt;3 https://t.co/OdWC8FhDDR",0,0,2022-04-09 21:17:48+00:00,1040973998711099392,plzbpcbsoon
76,1512902623325732875,"@Cynthiacooper37 @JangHoonLuv @The_Odd_Jason @fifelino @KathleenMcClus4 @VespertineTito @COccupants79 @Boondockfinds @woodywigmore @LesleyLupo @PatGrant7777 @ticat_kate @ComesAnnemarie @LlosaLee @AntonCountrySup @jill_magnussen @Sky13861654 @CATHERENI Lol I thought it’s Friday,told a follower happy Friday today😂😂😂thank you for the nice gif😘 https://t.co/DE1JGMfvkF",0,0,2022-04-09 21:17:48+00:00,775421629593743360,ursobuursula1
77,1512902621564379136,"Happy Louis on stage tonight! 🥺

© alexruhstaller #LTWTZurich https://t.co/RbaxZKY6EF",0,2,2022-04-09 21:17:48+00:00,1436465559919632418,LWTPR0JECTS
78,1512902619995713536,@SpaceBaller34 What a happy photograph 💛,0,0,2022-04-09 21:17:47+00:00,1437726629401292806,falcennial
79,1512902619697623041,"@loeyncity Happy birthday sweet seventeenn, wish you all the best!!🎈🎈❤",0,0,2022-04-09 21:17:47+00:00,1216231768208003072,peacherriy
80,1512902618548514833,chaeyoung tzuyu chaeyu twice cute fancam edit remember summer days anri HAPPY NENE DAY 🙁🤍🤍🤍 https://t.co/ndS8xKsbmS,0,1,2022-04-09 21:17:47+00:00,1371645951396474881,jkaybff
81,1512902617177128960,"@gheanjk happy early birthday, wish you all the best, enjoy your day!!🧚🏻‍♀️💗",0,0,2022-04-09 21:17:46+00:00,1431215327384199176,4vantekoo01_
82,1512902616959057920,@rinsurgf happy birthday yaa!!🤩🥳🙆🏻‍♀️💗,0,0,2022-04-09 21:17:46+00:00,1435115387578826752,harutotype
83,1512902616631713793,"Happy birthday King !!
#Tommyinnitbirthday #tommyfanart #tommyinnitfanart https://t.co/oxPClvlCwg",0,0,2022-04-09 21:17:46+00:00,1423265440617439238,nothingbizzare
84,1512902616258383874,Happy 18th Birthday Tommyinnit! 💕,0,0,2022-04-09 21:17:46+00:00,1495294218557870084,ArochoJinx
85,1512902614861725703,@lailajkaram Happy birthday 🥳💕💕💕💕,0,0,2022-04-09 21:17:46+00:00,128189768,BaYoubii
86,1512902613934690310,@olgatokariuk Happy Birthday @olgatokariuk….better days ahead…,0,0,2022-04-09 21:17:46+00:00,19432736,kalovis
87,1512902613330653186,@jeonkooqies Happy Birthday!! Wish u all the best 🥳🎂,0,0,2022-04-09 21:17:46+00:00,1351005828946546691,shokolatminnt
88,1512902612483559438,"Cheers to you for another trip around the sun! 
Happy + 1 Bro🎉 https://t.co/tMuDeVLEvR",0,0,2022-04-09 21:17:45+00:00,1508934122282139655,UmarMessi11
89,1512902612026281991,"@avaaaaart @way2collector @foundation Woohoo, congratulations lovely 💖 So happy for you 🥰",0,0,2022-04-09 21:17:45+00:00,1417753658083758080,TamaMaanika
90,1512902611334316042,"Now their factories will provide shelter to Indian spy and they will allot tenders to their factories then progress will be labelled as making roads for nation over health,education and changing of system.
Beurocracy will also be in happy zone.😶😶😶😶 #ImranKhanPrimeMinister",0,0,2022-04-09 21:17:45+00:00,1499812672920961024,buttsyy04
91,1512902609795170306,@therevotuka Happy mensiv boss💞,0,0,2022-04-09 21:17:45+00:00,1317248585541451777,yeoejin
92,1512902609593683970,"Wow I saw my baby girl tutu, I’m so happy I missed her",0,0,2022-04-09 21:17:45+00:00,1161247592,ktmox_
