,id,text,number_of_retweets,number_of_favorites,date,language
0,1508622062977536003,"Espero seas muy feliz en esta etapa de tu vida,aunque no seamos amigas te quiero y te deseo lo mejor ❤️",0,0,2022-03-29 01:48:23+00:00,
1,1508622062977536003,"Espero seas muy feliz en esta etapa de tu vida,aunque no seamos amigas te quiero y te deseo lo mejor ❤️",0,0,2022-03-29 01:48:23+00:00,
2,1508622062348382213,"@biakkkjkx ""a felicidade é oq me deixa feliz"" tá prr poesia irmão",0,0,2022-03-29 01:48:23+00:00,
3,1508622062977536003,"Espero seas muy feliz en esta etapa de tu vida,aunque no seamos amigas te quiero y te deseo lo mejor ❤️",0,0,2022-03-29 01:48:23+00:00,
4,1508622062348382213,"@biakkkjkx ""a felicidade é oq me deixa feliz"" tá prr poesia irmão",0,0,2022-03-29 01:48:23+00:00,
5,1508622061358370819,@marcoss1899 feliz cumple carmos querido,0,0,2022-03-29 01:48:22+00:00,
6,1508622062977536003,"Espero seas muy feliz en esta etapa de tu vida,aunque no seamos amigas te quiero y te deseo lo mejor ❤️",0,0,2022-03-29 01:48:23+00:00,
7,1508622062348382213,"@biakkkjkx ""a felicidade é oq me deixa feliz"" tá prr poesia irmão",0,0,2022-03-29 01:48:23+00:00,
8,1508622061358370819,@marcoss1899 feliz cumple carmos querido,0,0,2022-03-29 01:48:22+00:00,
9,1508622061274599435,"yo? feliz , porque? pq voy a escuchar bajo el agua en vivo",0,0,2022-03-29 01:48:22+00:00,
10,1508622062977536003,"Espero seas muy feliz en esta etapa de tu vida,aunque no seamos amigas te quiero y te deseo lo mejor ❤️",0,0,2022-03-29 01:48:23+00:00,
11,1508622062348382213,"@biakkkjkx ""a felicidade é oq me deixa feliz"" tá prr poesia irmão",0,0,2022-03-29 01:48:23+00:00,
12,1508622061358370819,@marcoss1899 feliz cumple carmos querido,0,0,2022-03-29 01:48:22+00:00,
13,1508622061274599435,"yo? feliz , porque? pq voy a escuchar bajo el agua en vivo",0,0,2022-03-29 01:48:22+00:00,
14,1508622058468438018,@feliz_okinawa 一応出るつもりで予定空けてあるよ！,0,0,2022-03-29 01:48:22+00:00,
15,1508622062977536003,"Espero seas muy feliz en esta etapa de tu vida,aunque no seamos amigas te quiero y te deseo lo mejor ❤️",0,0,2022-03-29 01:48:23+00:00,
16,1508622062348382213,"@biakkkjkx ""a felicidade é oq me deixa feliz"" tá prr poesia irmão",0,0,2022-03-29 01:48:23+00:00,
17,1508622061358370819,@marcoss1899 feliz cumple carmos querido,0,0,2022-03-29 01:48:22+00:00,
18,1508622061274599435,"yo? feliz , porque? pq voy a escuchar bajo el agua en vivo",0,0,2022-03-29 01:48:22+00:00,
19,1508622058468438018,@feliz_okinawa 一応出るつもりで予定空けてあるよ！,0,0,2022-03-29 01:48:22+00:00,
20,1508622053557084164,"beto disse q eu pareço o igor gomes, n sei se fico feliz ou choro KKKKKKKKKK, mentira ele jogou mt ontem",0,0,2022-03-29 01:48:21+00:00,
21,1508622062977536003,"Espero seas muy feliz en esta etapa de tu vida,aunque no seamos amigas te quiero y te deseo lo mejor ❤️",0,0,2022-03-29 01:48:23+00:00,
22,1508622062348382213,"@biakkkjkx ""a felicidade é oq me deixa feliz"" tá prr poesia irmão",0,0,2022-03-29 01:48:23+00:00,
23,1508622061358370819,@marcoss1899 feliz cumple carmos querido,0,0,2022-03-29 01:48:22+00:00,
24,1508622061274599435,"yo? feliz , porque? pq voy a escuchar bajo el agua en vivo",0,0,2022-03-29 01:48:22+00:00,
25,1508622058468438018,@feliz_okinawa 一応出るつもりで予定空けてあるよ！,0,0,2022-03-29 01:48:22+00:00,
26,1508622053557084164,"beto disse q eu pareço o igor gomes, n sei se fico feliz ou choro KKKKKKKKKK, mentira ele jogou mt ontem",0,0,2022-03-29 01:48:21+00:00,
