,Time,User,Tweet
0,Palmeiras,"Essa é para quem tá me pedindo bastidores… 😝🇵🇹

#AvantiPalestra #PALxCOR https://t.co/ledTxOfWH6",3522041
1,Palmeirasso51,"A coletiva do Abel é um soco no estomago do sistema futebol brasileiro

Resumo nas entrelinhas

Eu sei que sou bom.… https://t.co/PAswloc16o",7193
2,bigodeus,"RT @glhrmbr: Danilo embrulhou o suposto “time galático do Corinthians” pra presente. Mas deu a lógica, ele tem duas Libertadores e o Corint…",1536
3,Astronomiaum,RT @duduvalle_: @Astronomiaum @elonmusk Brasileiros 🤝 objetos espaciais https://t.co/30A25kuEye,665186
4,Astronomiaum,RT @monasteta: limpa com ype limão e bota na olx por 100k,665186
5,isaagil,gente a Bárbara,277
6,Astronomiaum,"RT @woodrsbane: vi isso no jornalzinho do meio dia, o povo tava revoltado pq poderia ter caído em alguém",665186
7,caioarrysz,A Sociedade Esportiva Palmeiras faz muito sexo,1507
8,avantipalmeiras,"O VEIGA AMA UM JOGO DECISIVO! 👑

Gol contra o Santos ⚽
Gol no Choque-Rei ⚽
Gol no Derby ⚽

SIMPLESMENTE VICIADO EM… https://t.co/5vH1Wg7os6",207134
9,Astronomiaum,RT @acaicomcamarao: Em breve no mercado livre,665186
10,f_delaurentiis,Abel torce para Danilo ficar no Palmeiras 'por muitos anos' e atualiza informações sobre venda de Patrick de Paula… https://t.co/4OQJKxeTfv,22892
11,bigodeus,"fernando prass, ze roberto e dudu. https://t.co/lfWYxeqoZ5",1536
12,bigodeus,"RT @jorgitovaIdivia: ""Jogar contra o Corinthians é como fazer amor. Como só o cu kkkkk""

caralho Abel Ferreira perdeu a linha na coletiva a…",1536
13,gabrielmenino00,"Tmj sempre @Palmeiras!!! 

Feliz demais pelo retorno e por essa grande vitória!!!

#AvantiPalestra 🐷🙏🏽 https://t.co/Emufvm6X13",36607
14,f_delaurentiis,"Abel Ferreira, sobre @93zerafael: ""O Zé está impossível! Está forte, agressivo, recuperando bolas, empurrando a equipe para frente"" 🚂",22892
15,Palmeiras,"ELE CRAVA! ⚽💥
A Língua Portuguesa já aceita que ""gol de pênalti do Veiga"" é redundância, né? 😎

#AvantiPalestra… https://t.co/da9A5EPCEz",3522041
16,GFalcade21,https://t.co/NQSnDIBVBc,25234
17,gabrielmenino00,Vaaaamos!!! https://t.co/zyfCQ5Kq3w,36607
18,dimi1914,RT @serendipityer: criem logo antes que ele próprio crie (e a gente sabe que ele não é bom nisso,3796
